2018-10-24 22:20:19 status unpacked libnpth0:amd64 1.3-1
2018-10-24 22:20:19 status unpacked libnpth0:amd64 1.3-1
2018-10-24 22:20:19 install readline-common:all <none> 7.0-3
2018-10-24 22:20:19 status half-installed readline-common:all 7.0-3
2018-10-24 22:20:19 status unpacked readline-common:all 7.0-3
2018-10-24 22:20:19 status unpacked readline-common:all 7.0-3
2018-10-24 22:20:19 install libreadline7:amd64 <none> 7.0-3
2018-10-24 22:20:19 status half-installed libreadline7:amd64 7.0-3
2018-10-24 22:20:19 status unpacked libreadline7:amd64 7.0-3
2018-10-24 22:20:19 status unpacked libreadline7:amd64 7.0-3
2018-10-24 22:20:19 install gnupg-agent:amd64 <none> 2.1.18-8~deb9u2
2018-10-24 22:20:19 status half-installed gnupg-agent:amd64 2.1.18-8~deb9u2
2018-10-24 22:20:19 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u2
2018-10-24 22:20:19 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u2
2018-10-24 22:20:19 install libksba8:amd64 <none> 1.3.5-2
2018-10-24 22:20:19 status half-installed libksba8:amd64 1.3.5-2
2018-10-24 22:20:19 status unpacked libksba8:amd64 1.3.5-2
2018-10-24 22:20:19 status unpacked libksba8:amd64 1.3.5-2
2018-10-24 22:20:19 install libsqlite3-0:amd64 <none> 3.16.2-5+deb9u1
2018-10-24 22:20:19 status half-installed libsqlite3-0:amd64 3.16.2-5+deb9u1
2018-10-24 22:20:19 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u1
2018-10-24 22:20:19 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u1
2018-10-24 22:20:19 install gnupg:amd64 <none> 2.1.18-8~deb9u2
2018-10-24 22:20:19 status half-installed gnupg:amd64 2.1.18-8~deb9u2
2018-10-24 22:20:20 status unpacked gnupg:amd64 2.1.18-8~deb9u2
2018-10-24 22:20:20 status unpacked gnupg:amd64 2.1.18-8~deb9u2
2018-10-24 22:20:20 install libunistring0:amd64 <none> 0.9.6+really0.9.3-0.1
2018-10-24 22:20:20 status half-installed libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-10-24 22:20:20 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-10-24 22:20:20 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-10-24 22:20:20 install libidn2-0:amd64 <none> 0.16-1+deb9u1
2018-10-24 22:20:20 status half-installed libidn2-0:amd64 0.16-1+deb9u1
2018-10-24 22:20:20 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2018-10-24 22:20:20 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2018-10-24 22:20:20 install libpsl5:amd64 <none> 0.17.0-3
2018-10-24 22:20:20 status half-installed libpsl5:amd64 0.17.0-3
2018-10-24 22:20:20 status unpacked libpsl5:amd64 0.17.0-3
2018-10-24 22:20:20 status unpacked libpsl5:amd64 0.17.0-3
2018-10-24 22:20:20 install wget:amd64 <none> 1.18-5+deb9u2
2018-10-24 22:20:20 status half-installed wget:amd64 1.18-5+deb9u2
2018-10-24 22:20:20 status unpacked wget:amd64 1.18-5+deb9u2
2018-10-24 22:20:20 status unpacked wget:amd64 1.18-5+deb9u2
2018-10-24 22:20:20 install bzip2:amd64 <none> 1.0.6-8.1
2018-10-24 22:20:20 status half-installed bzip2:amd64 1.0.6-8.1
2018-10-24 22:20:20 status unpacked bzip2:amd64 1.0.6-8.1
